job,ndof,n_elems,cg_iters,cg_residual,rel_err_l2,rel_err_tip,warp_cpu_avg,warp_gpu_util_avg,ccx_wall_s,warp_wall_s,speedup_cpu_over_gpu,gpu_faster,req1_cpu_pass,req3_acc_pass
cant_10x2x2_iterative,297,40,74,1.1201917470916165e-07,2.8385330765006186e-07,3.113434990023625e-07,5.078125,0.0,0.029940886422991753,0.004547564312815666,6.5839390855043405,True,True,True
cant_20x4x4_iterative,1575,320,146,1.903299573905024e-07,2.414852975060716e-07,2.537870427843438e-07,5.33828125,2.0,0.06257853470742702,0.012201447039842606,5.128779767111481,True,True,True
cant_40x8x8_iterative,9963,2560,297,8.919380245798352e-08,1.743920823981084e-07,1.0020451984007217e-07,5.989062499999999,0.0,0.35797529853880405,0.014620395377278328,24.484652384650026,True,True,True
cant_80x16x16_iterative,70227,20480,597,5.217566463438377e-08,1.5653475231717384e-07,2.275845739564973e-07,6.119140624999999,0.0,3.7970020342618227,0.034772491082549095,109.19557144317982,True,True,True
cant_120x24x24_iterative,226875,69120,897,3.870773808645021e-08,2.26274558815139e-07,9.23247947370727e-08,6.11921875,19.2,18.101924838498235,0.09310122393071651,194.4327268132287,True,True,True
cant_160x32x32_iterative,525987,163840,1197,2.9361009423437376e-08,1.7608664844425224e-07,6.240153075896649e-08,6.8177556818181815,97.45454545454545,54.15523096360266,0.2506733313202858,216.0390603913442,True,True,True
